書名,原始網址,失敗原因
一等嫡女,https://www.banxia.la/books/155869.html,身份不符: 作者不符 (CSV: 夏太后 vs Web: 夏太後)
上仙ooo,https://www.bookwalker.com.tw/product/79083?srsltid=AfmBOoohX2ZeNvwAiHIF2zR3khZOMFR89AgGRiDWexMeCWUGyPSjHNaf,身份不符: 作者不符 (CSV: 貓邏 vs Web: BOOKWALKER電子書)
千黎笑堇色,https://www.jjwxc.net/onebook.php?novelid=589047,身份不符: 作者不符 (CSV: 棵海桐 vs Web: 曲童)
卿本網癮少女,https://czbooks.net/n/cpgf42k,身份不符: 作者不符 (CSV: 言言卡夫 vs Web: 言言夫卡)
可愛女僕的騎士,https://www.eslite.com/product/1001137691958983?srsltid=AfmBOorc0_2vdBCslgp5blVpKAaZVeRHXSNii-zvPZcCgGGhF9qN8y2k,"身份不符: 標題差異過大 (可愛女僕的騎士 vs 誠品線上-把生活變成喜歡的樣子, sim=0.09)"
她來時冰雪消融,https://czbooks.net/n/cp1309e,身份不符: 作者不符 (CSV: 喻時言 vs Web: 喻言時)
愛上壞壞的神,https://www.eslite.com/product/1001137691989780?srsltid=AfmBOopS2EX6bLMSqGUxIUX7Ym6CgvEl7Nakp200ZvUxcxLXsYWmy_00,"身份不符: 標題差異過大 (愛上壞壞的神 vs 誠品線上-把生活變成喜歡的樣子, sim=0.19)"
校花的貼身高手,https://www.qidian.com/book/1931432/,"身份不符: 標題差異過大 (校花的貼身高手 vs 未知標題, sim=0.00)"
日月星辰不及你,https://www.jjwxc.net/onebook.php?novelid=4172684,身份不符: 作者不符 (CSV: 密雨恬言 vs Web: 蜜雨恬言)
網遊之公子連城,https://czbooks.net/n/u9ldo,身份不符: 作者不符 (CSV: 滿座衣冠勝雪 vs Web: 滿座衣冠...)
總裁大人，100分寵！,https://czbooks.net/n/cp9gbio,身份不符: 作者不符 (CSV: 妃子笑 vs Web: 妃子一笑)
蜂舞,https://www.eslite.com/product/1001299362734292?srsltid=AfmBOordSBFB0KgL_lMOm4CG92DWr9sRlnbsn59n3JiNCtkl6gd2zQsM,"身份不符: 標題差異過大 (蜂舞 vs 誠品線上-把生活變成喜歡的樣子, sim=0.00)"
轉角撞到神,https://ixdzs.tw/read/12386/,身份不符: 作者不符 (CSV: 愛打瞌睡的蟲 vs Web: 子夜月隱)
重生—獨寵無二,https://www.novel543.com/0214318073/,"身份不符: 標題差異過大 (重生—獨寵無二 vs 重生之獨寵無二小說線上閱讀, sim=0.60)"
重生之賊行天下,https://uukanshu.cc/book/8036/,身份不符: 作者不符 (CSV: 發飆的蝸牛 vs Web: 佚名)
閻王的特別助理,https://www.eslite.com/product/1001182411915679?srsltid=AfmBOooshRoUS48xlmTCT5e411Qg5DpF1UoQF0XFENVGDm1akr35D6vf,"身份不符: 標題差異過大 (閻王的特別助理 vs 誠品線上-把生活變成喜歡的樣子, sim=0.09)"
非關英雄,https://www.eslite.com/product/1001182411785938?srsltid=AfmBOoowFsdKNxIm3683zupY51azTUwkY3tn1HfsnIn0Yo9YQNcXFPjI,"身份不符: 標題差異過大 (非關英雄 vs 誠品線上-把生活變成喜歡的樣子, sim=0.00)"
首席御醫,https://uukanshu.cc/book/7199/,身份不符: 作者不符 (CSV: 銀河九天 vs Web: 佚名)
魔法傳記online,https://www.eslite.com/product/1001277802443421?srsltid=AfmBOoohLgjtEVkfIjyF_M4Y4u5kxXQrtReEaBKrWnAYsBddtHZuZ2eP,"身份不符: 標題差異過大 (魔法傳記online vs 誠品線上-把生活變成喜歡的樣子, sim=0.00)"
